Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Pacific County Fire Protection District No. 5 - North Cove/Tokeland,Pacific,Fire Protection District,EMS,"Fire district excess levy (1 year, $2.12) for EMS and ambulance services.",Passed,64.83,35.17,August,2015,1,2.12,,,Fire District Excess Levy (RCW 84.52.130)
Pacific County Fire Protection District No. 5 - North Cove/Tokeland,Pacific,Fire Protection District,EMS,"Fire district excess levy (1 year, $1.17) for EMS and ambulance services and election fees.",Passed,76.13,23.87,August,2014,1,1.17,,,Fire District Excess Levy (RCW 84.52.130)
Pacific County Fire Protection District No. 5 - North Cove/Tokeland,Pacific,Fire Protection District,EMS,"Fire district excess levy (1 year, $1.01) for EMS and ambulance services.",Passed,81.28,18.72,August,2013,1,1.01,,,Fire District Excess Levy (RCW 84.52.130)
Pacific County Fire Protection District No. 5 - North Cove/Tokeland,Pacific,Fire Protection District,EMS,Excess levy ($0.879) for ambulance and EMS.,Passed,65.03,34.97,November,2012,1,0.87898,,,Fire District Excess Levy (RCW 84.52.130)
Pacific County Fire Protection District No. 5 - North Cove/Tokeland,Pacific,Fire Protection District,EMS,Excess levy ($0.921) for ambulance and EMS.,Passed,70.77,29.23,August,2012,1,0.92,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Pacific County Fire Protection District No.1,Pacific,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Passed,78.32,21.68,February,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
Palouse,Whitman,City,Transportation,Excess levy ($0.78) for street improvements and oiling.,Passed,74.68,25.32,November,2017,1,0.78,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.60) for swimming pool maintenance and operation.,Passed,74.52,25.48,November,2017,1,0.6,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,83.71,16.29,November,2017,6,0.5,,,EMS Levy (RCW 84.52.069)
Palouse,Whitman,City,Transportation,Excess levy ($0.80) for street improvements and street oiling.,Passed,67.54,32.46,November,2016,1,0.8,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.56) for swimming pool maintenance and operation.,Passed,75.17,24.83,November,2016,1,0.56,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Transportation,Excess levy ($0.82) for street improvements and oiling.,Passed,69.68,30.32,November,2015,1,0.82,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.52) for swimming pool maintenance and operation.,Passed,75.35,24.65,November,2015,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Transportation,Excess levy ($0.76) for street improvements and oiling.,Passed,65.17,34.83,November,2014,1,0.76,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.48) for swimming pool operations and maintenance.,Passed,72.77,27.23,November,2014,1,0.48,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,"Fire, Other","Single-year levy lid lift (increase of $0.61, permanent) for general city services and fire equipment.",Passed,59.66,40.34,November,2013,Single-year (permanent),0.61,,,Levy Lid Lift (RCW 84.55.050)
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.58) for swimming pool maintenance and operation.,Passed,71.88,28.12,November,2013,1,0.58,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Transportation,Excess levy ($0.91) for street improvements and street oiling.,Passed,65.53,34.47,November,2013,1,0.91,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.58) for swimming pool maintenance and operation.,Passed,74.82,25.18,November,2012,1,0.58,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Transportation,Excess levy ($0.83) for street improvements and street oiling.,Passed,71.12,28.88,November,2012,1,0.83,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,EMS,"Initial EMS levy (6 years, $0.50).",Passed,71.13,28.67,November,2011,6,0.5,,,EMS Levy (RCW 84.52.069)
Palouse,Whitman,City,Parks and Recreation,Excess levy ($0.58) for swimming pool maintenance and operation.,Passed,70.45,29.55,November,2011,1,0.58,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Palouse,Whitman,City,Transportation,Excess levy ($0.83) for street improvements and street oiling.,Passed,60.97,39.03,November,2011,1,0.83,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Pasco,Franklin,City,Government Organization,Initiative measure changing form of government from council-manager to mayor-council.,Failed,38.91,61.09,November,2013,,,,,N/A
Pasco,Franklin,City,Annexation,"Initiative measure to ""de-annex"" two recently annexed areas.",Failed,30.09,69.91,November,2013,,,,,N/A
Pateros,Okanogan,City,EMS,"EMS levy renewal (6 years, $0.47).",Passed,79.57,20.43,April,2014,6,,0.47,,EMS Levy (RCW 84.52.069)
Pend Oreille County Fire Protection District No. 2,Pend Oreille,Fire Protection District,"Annexation, Fire",Annexation of Ione.,Passed,75.39,24.61,November,2017,,,,,N/A
Pend Oreille County Fire Protection District No. 2,Pend Oreille,Fire Protection District,Fire,"Single-year levy lid lift (to $0.95, permanent) for fire district maintenance and operations.",Failed,31.44,68.56,November,2016,Single-year (permanent),0.95,,,Levy Lid Lift (RCW 84.55.050)
Pend Oreille County Fire Protection District No. 2,Pend Oreille,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.40).",Failed,44.58,55.42,November,2016,6,0.4,,,EMS Levy (RCW 84.52.069)
Pend Oreille County Fire Protection District No. 3 - South Pend Oreille Fire and Rescue,Pend Oreille,Fire Protection District,Government Organization,Increasing number of fire commissioners from 3 to 5.,Passed,55.92,44.08,November,2013,,,,,N/A
Pend Oreille County Fire Protection District No. 4,Pend Oreille,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Failed,49.82,50.18,November,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Pend Oreille County Fire Protection District No. 4,Pend Oreille,Fire Protection District,"Annexation, Fire",Annexation of the Town of Cusick.,Passed,76.84,23.16,November,2016,,,,,N/A
Pend Oreille County Fire Protection District No. 4,Pend Oreille,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Failed,50.24,49.76,August,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Pend Oreille County Fire Protection District No. 5 - Locke-Ruby,Pend Oreille,Fire Protection District,Fire,"Single-year levy lid lift (to $0.70, permanent) for maintenance, operations, and required equipment replacement.",Failed,36.07,63.93,November,2017,"1, permanent",0.7,,,Levy Lid Lift (RCW 84.55.050)
Pend Oreille County Fire Protection District No. 5 - Locke-Ruby,Pend Oreille,Fire Protection District,Fire,"Single-year levy lid lift (to $1.00, permanent) for fire district maintenance and operations.",Failed,47.32,52.68,November,2016,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Pend Oreille County Fire Protection District No. 5 - Locke-Ruby,Pend Oreille,Fire Protection District,Fire,"Single-year levy lid lift (to $0.40, permanent) for fire district maintenance and operations.",Passed,57.78,42.22,November,2012,Single-year (permanent),0.4,,,Levy Lid Lift (RCW 84.55.050)
Pend Oreille County Fire Protection District No. 6,Pend Oreille,Fire Protection District,Fire,"Single-year levy lid lift (to $1.00, permanent) for fire district maintenance and operation.",Passed,59.51,40.49,August,2016,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Pend Oreille County Public Hospital District No. 1,Pend Oreille,Public Hospital District,Hospital,"Bonds (25 years, $10 million) for assisted living facility.",Passed,62.59,37.41,April,2016,25,,,"10,000,000",Bond (RCW 84.52.056)
Pend Oreille County Public Hospital District No. 1,Pend Oreille,Public Hospital District,Hospital,"Bonds (25 years, $10 million) for hospital expansion and renovations.",Failed,54.75,45.25,November,2015,25,,,"10,000,000",Bond (RCW 84.52.056)
Peninsula Metropolitan Park District,Pierce,Park District,Parks and Recreation,"Multi-year levy lid lift (to $0.75, 6 years/permanent) for park and recreational facilities, including programs for seniors and vulnerable populations. Limit factor: 6% annually.",Passed,54.22,45.78,November,2017,"6, permanent",0.75,,,Levy Lid Lift (RCW 84.55.050)
Pierce County,Pierce,County,Government Organization,"County charter amendment requiring council to fill vacancies in partisan offices from a list of three people submitted by party central committee, and requiring nonpartisan vacancies to be filled through public request for applications.",Passed,56.76,43.24,November,2017,,,,,N/A
Pierce County,Pierce,County,Government Organization,"County charter amendment allowing councilmembers to serve three consecutive four-year terms, instead of the current two.",Failed,36.61,63.39,November,2017,,,,,N/A
Pierce County,Pierce,County,Government Organization,County charter amendment reducing the number of signatures to validate an initiative petition from 10% of votes cast in last county executive election to 8%.,Failed,35.27,64.73,November,2016,,,,,N/A
Pierce County,Pierce,County,Government Organization,County charter amendment reducing the number of signatures to validate a referendum petition from 8% of the votes cast in last county executive election to 4%.,Failed,27.63,72.37,November,2016,,,,,N/A
Pierce County,Pierce,County,Government Organization,County charter amendment increasing time period for prosecuting attorney to formulate a referendum ballot title; requiring prosecuting attorney to notify the proponent if the referendum is not legal; providing award of attorney fees if the proponent prevails in a legal challenge; and suspend proponent's 120-day signature gathering period for up to 45 days pending the outcome of the legal challenge.,Passed,53.41,46.59,November,2016,,,,,N/A
Pierce County,Pierce,County,Government Organization,County charter amendment prohibiting all countywide elected officials from holding any other elected office except precinct committee officer.,Passed,83.38,16.62,November,2016,,,,,N/A
Pierce County,Pierce,County,Government Organization,"County charter amendment removing $25,000 public works bid limit and requiring competitive bidding for public works projects when required by state law or county ordinance.",Passed,69.17,30.83,November,2016,,,,,N/A
Pierce County,Pierce,County,Other,"Advisory vote on whether to allow marijuana-related businesses unincorporated areas. <em>(Voters narrowly opposed marijuana businesses in this special election. Following the election, the county council approved a ban on marijuana businesses, but the county executive vetoed it in large part because county voters supported marijuana legalization in previous general elections with significantly higher turnout.)</em>",Advisory,47.6,52.4,April,2016,,,,,N/A
Pierce County,Pierce,County,Other,"Referendum to repeal county ordinance approving financing, construction, and leasing of a new general services building.",Passed,59.01,40.99,November,2015,,,,,N/A
Pierce County,Pierce,County,Other,"Advisory vote on whether Pierce County should build a new general services building. <em>(Voters opposed the building in this non-binding vote, then scrapped the project three months later in a legally binding referendum.)</em>",Advisory,44.04,55.96,August,2015,,,,,N/A
Pierce County,Pierce,County,Government Organization,County charter amendment requiring a two-thirds council majority to levy or increase a new councilmanic tax.,Passed,67.07,32.93,November,2012,,,,,N/A
Pierce County,Pierce,County,Other,"Emergency communications sales tax (0.1%) for maintaining, operating, and improving the county's 911 system and infrastructure.",Passed,55.16,44.84,November,2011,,,0.001,,E911 Sales Tax (RCW 82.14.420)
Pierce County Fire Protection District No 6 - Central Pierce Fire and Rescue,Pierce,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,75.13,24.87,August,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No 6 - Central Pierce Fire and Rescue,Pierce,Fire Protection District,Fire,"Fire district benefit charges, continuation levy (6 years).",Passed,76.96,23.04,August,2016,6,,,,Fire District Benefit Charge (RCW 52.18.010)
Pierce County Fire Protection District No 6 - Central Pierce Fire and Rescue,Pierce,Fire Protection District,Fire,"Bonds (20 years, $39.8 million) for remodeled, replaced, and upgraded fire and life safety facilities.",Passed,66.35,33.65,November,2013,20,,,"39,800,000",Bond (RCW 84.52.056)
Pierce County Fire Protection District No. 10 - Fife,Pierce,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,63.96,36.04,August,2015,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 13,Pierce,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.00, 6 years/permanent) for fire district maintenance, operations, and capital facilities. Limit factor: 6% annually.",Passed,55.13,44.87,August,2016,Multi-year (6 years/permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 14 - Riverside Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, $0.85) to maintain current fire and EMS level of service.",Passed,73.52,26.48,August,2016,4,0.85,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 14 - Riverside Fire and Rescue,Pierce,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Passed,70.52,29.48,August,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 14 - Riverside Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, $0.68) to maintain current level of fire and EMS services.",Passed,68.5,31.5,February,2012,4,0.68,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 16 - Key Peninsula Fire,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.39) to maintain current fire and EMS level of service.",Passed,69.77,30.23,August,2016,4,0.39,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 16 - Key Peninsula Fire,Pierce,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district maintenance and operations. Limit factor: 6% annually.",Passed,54.99,45.01,August,2015,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 16 - Key Peninsula Fire,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.49) to increase the current level of fire and EMS services.",Passed,66.02,33.98,November,2012,4,0.49,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 18 - Orting Valley Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.63) for fire district maintenance, operations, and emergency medical services.",Passed,66.8,33.2,November,2017,4,0.63,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 18 - Orting Valley Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.92) to maintain current fire and EMS levels.",Failed,58.5,41.5,August,2017,4,0.92,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 18 - Orting Valley Fire and Rescue,Pierce,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,68.7,31.3,August,2015,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 18 - Orting Valley Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.92) to maintain current levels of fire and EMS services.",Passed,66.16,33.84,April,2013,4,0.92,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 21 - Graham Fire and Rescue,Pierce,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district operations. Limit factor: 6% annually.",Passed,55.82,44.18,November,2017,"6, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 21 - Graham Fire and Rescue,Pierce,Fire Protection District,Government Organization,Increasing number of fire district commission from 3 to 5.,Passed,61.52,38.48,November,2016,,,,,N/A
Pierce County Fire Protection District No. 21 - Graham Fire and Rescue,Pierce,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,62.8,37.2,August,2016,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 21 - Graham Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.60) to maintain current levels of fire and EMS.",Passed,60.47,39.53,November,2014,,0.6,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 21 - Graham Fire and Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.60) to maintain current level of fire and EMS.",Failed,58.43,41.57,August,2014,4,0.6,,,Fire District Excess Levy (RCW 84.52.130)
Pierce County Fire Protection District No. 23 - Pierce 23 Fire and Rescue,Pierce,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Passed,71.43,28.57,August,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 23 - Pierce 23 Fire and Rescue,Pierce,Fire Protection District,Fire,"Single-year levy lid lift (to $1.50, 1 year) for fire district operations.",Passed,50.08,49.92,November,2012,Single-year (1 year),1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 23 - Pierce 23 Fire and Rescue,Pierce,Fire Protection District,Fire,"Single-year levy lid lift (to $1.50, 1 year) for fire district operations.",Failed,49.22,50.78,August,2012,Single-year (1 year),1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 26 - Greenwater,Pierce,Fire Protection District,EMS,"Initial EMS levy (10 years, $0.50).",Passed,79.22,20.78,August,2015,10,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No. 27,Pierce,Fire Protection District,Fire,"Bonds (10 years, $1 million) for fire district living quarters, storage area, and other capital facilities.",Passed,63.75,36.25,August,2017,10,,,"1,000,000",Bond (RCW 84.52.056)
Pierce County Fire Protection District No. 5 - Gig Harbor Fire & Medic One,Pierce,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district operations. Limit factor: 6% annually.",Passed,62.6,37.4,November,2017,"6, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No. 5 - Gig Harbor Fire & Medic One,Pierce,Fire Protection District,EMS,"Multi-year levy lid lift (to $0.50, 6 years/permanent) for emergency medical services. Limit factor: 6% annually.",Passed,66.38,33.62,November,2016,Multi-year (6 years/permanent),0.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No.17 - South Pierce Fire and Rescue,Pierce,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district operations. Limit factor: 6% annually.",Failed,45.97,54.03,November,2017,"6, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No.17 - South Pierce Fire and Rescue,Pierce,Fire Protection District,EMS,"Multi-year EMS levy lid lift (to $0.50, 6 years/permanent). Limit factor: 6% annually.",Failed,48.36,51.64,November,2017,"6, permanent",0.5,,,Levy Lid Lift (RCW 84.55.050)
Pierce County Fire Protection District No.17 - South Pierce Fire and Rescue,Pierce,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,69.74,30.26,August,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Pierce County Fire Protection District No.17 - South Pierce Fire and Rescue,Pierce,Fire Protection District,Fire,"Bonds (20 years, $7.6 million) for new fire district headquarters, emergency power upgrades, and other improvements.",Failed,58.16,41.84,November,2013,20,,,"7,600,000",Bond (RCW 84.52.056)
Pierce County Transportation Benefit Area - Pierce Transit,Pierce,Public Transportation Benefit Area,Transportation,Transit sales tax (increase of 0.3% to 0.9%) for provision and restoration of transit services including commuter and paratransit services and capital improvements.,Failed,49.83,50.17,November,2012,,,0.003,,Transit Sales Tax (RCW 82.14.045)
Point Roberts Park and Recreation District No.1,Whatcom,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.22) for programs and operations.",Passed,70.16,29.84,November,2017,6,0.22,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Point Roberts Park and Recreation District No.1,Whatcom,Park District,Library,Excess levy ($0.51) to help pay for renovation of a fire hall for the use of the Whatcom County Library System.,Failed,55.45,44.55,November,2016,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Point Roberts Park and Recreation District No.1,Whatcom,Park District,Parks and Recreation,"Bonds (10 years, $250,000) to replace community center roof and HVAC, improve site drainage, and make other capital improvements.",Passed,72.29,27.71,November,2013,10,,,"250,000",Bond (RCW 84.52.056)
Point Roberts Park and Recreation District No.1,Whatcom,Park District,Parks and Recreation,Park and recreation district regular levy ($0.08) for operations and maintenance.,Passed,77.31,22.69,November,2011,6,0.08,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Port Angeles,Clallam,City,Government Organization,"Changing city classification from code city to second class city in response to a citizen petition, and maintaining the existing council-manager form of government.",Failed,20.93,79.07,November,2017,,,,,N/A
Port Angeles,Clallam,City,Other,Advisory vote on whether the city should resume water fluoridation. <em>(Voters opposed fluoridation.)</em>,Advisory,42.47,57.53,November,2017,,,,,N/A
Port Angeles,Clallam,City,Parks and Recreation,"Bonds (21 years, $4 million) to improve and renovate Civic Field sports complex.",Failed,56.87,43.13,August,2012,21,,,"4,000,000",Bond (RCW 84.52.056)
Port Angeles Transportation Benefit District,Clallam,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for street and sidewalk preservation, maintenance, and repair.",Passed,67.86,32.14,August,2017,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Port of Bellingham,Whatcom,Port District,Government Organization,Increasing number of port commissioners from 3 to 5.,Failed,49.19,50.81,November,2012,,,,,N/A
Port of Chinook,Pacific,Port District,Other,"Single-year levy lid lift (to $0.45, permanent) for port operations and capital improvements.",Passed,53.25,46.75,February,2016,Single-year (permanent),0.45,,,Levy Lid Lift (RCW 84.55.050)
Port of Coupeville,Island,Port District,Government Organization,Reducing port commissioner terms from 6 years to 4 years.,Passed,91.84,8.16,November,2013,,,,,N/A
Port of Grapeview,Mason,Port District,Other,"Single-year levy lid lift (to $0.14, 7 years) for renovation, improvement, and operations of boat ramp and parking lot.",Failed,43.5,56.5,November,2013,Single-year (7 years),0.1368,,,Levy Lid Lift (RCW 84.55.050)
Port of Illahee District No. 6,Kitsap,Port District,Government Organization,Eliminating port commissioner districts.,Passed,75.64,24.36,November,2015,,,,,N/A
Port of Indianola - Port of Indianola District No. 7,Kitsap,Port District,Other,"Single-year levy lid lift (to $0.22, permanent) for port district operations and capital improvements.",Passed,71.8,28.2,November,2013,Single-year (permanent),0.22,,,Levy Lid Lift (RCW 84.55.050)
Port of Manchester,Kitsap,Port District,Government Organization,Initiative reducing port commissioner terms from 6 years to 4 years.,Passed,64.87,35.13,April,2012,,,,,N/A
Port of Port Angeles,Clallam,Port District,Government Organization,Increasing number of port commissioners from 3 to 5.,Failed,40.85,59.15,November,2013,,,,,N/A
Port of Port Angeles,Clallam,Port District,Government Organization,Reducing port commissioner terms from 6 years to 4 years.,Passed,87.52,12.48,November,2013,,,,,N/A
Port of Poulsbo,Kitsap,Port District,Annexation,Annexation of new territory into port district.,Failed,44.36,55.64,November,2016,,,,,N/A
Port of Poulsbo,Kitsap,Port District,Annexation,Annexation of new territory into port district.,Failed,26,74,February,2014,,,,,N/A
Port of South Whidbey Island,Island,Port District,Other,"Accepting transfer of fairgrounds property from Island County and approving a single-year levy lid lift (increase of $0.05 to $0.18, 1 year/permanent) to fund it.",Passed,61.22,38.78,August,2016,Single-year (permanent),0.183,,,Levy Lid Lift (RCW 84.55.050)
Port of Tracyton,Kitsap,Port District,Annexation,Annexation of new territory into port district.,Failed,41.96,58.04,November,2011,,,,,N/A
Port of Upper Kittitas County,Kittitas,Port District,Government Organization,Forming a new port district.,Failed,37.71,62.29,November,2016,,,,,N/A
Port Orchard,Kitsap,City,Government Organization,Changing city classification from second class city to code city and changing form of government from mayor-council to council-manager.,Failed,31.4,68.6,November,2013,,,,,N/A
Port Townsend,Jefferson,City,"Criminal Justice, Other","Bonds (17 years, $3.6 million) for energy retrofit and other improvements for Mountain View Commons (former school campus that houses police department and various community groups).",Passed,71.37,28.63,February,2015,17,,,"3,600,000",Bond (RCW 84.52.056)
Port Townsend,Jefferson,City,Library,"Bonds (20 years, $3 million) for historic library renovation and expansion, including matching funds for a federal grant, conditional upon receipt of an additional $1.2 million from other sources.",Failed,40.41,59.59,August,2013,20,,,"3,000,000",Bond (RCW 84.52.056)
Port Townsend,Jefferson,City,"Fire, EMS","Single-year levy lid lift (increase of $0.43 to $2.49, permanent) for fire and EMS provided by contract with East Jefferson Fire Rescue. Levy expires if city annexes into the fire district.",Passed,50.1,49.9,November,2011,Single-year (permanent),0.43,,,Levy Lid Lift (RCW 84.55.050)
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.33) for park maintenance and operation expenses.,Passed,66.67,33.33,November,2017,1,0.33,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.34) for park district maintenance and operation.,Passed,62.13,37.87,November,2016,1,0.34,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.35) for park district maintenance and operations.,Passed,63.78,36.22,November,2015,1,0.35,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.37) for park district maintenance and operations.,Passed,68.98,31.02,November,2014,1,0.37,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.48) for park district maintenance and operations.,Passed,63.18,36.82,November,2013,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Prescott Joint Park and Recreation District,"Columbia, Walla Walla",Park District,Parks and Recreation,Excess levy ($0.48) for park district maintenance and operation.,Passed,61.69,38.31,November,2011,1,0.48,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Pullman,Whitman,City,Parks and Recreation,"Bonds ($2.4 million, 10 years) for park and recreation facility improvements.",Passed,73.74,26.26,November,2017,20,,,"2,400,000",Bond (RCW 84.52.056)
Pullman,Whitman,City,"Fire, Parks and Recreation, Other","Bonds ($10.5 million, 20 years) for new recreation center, senior center, city administrative offices, fire station, and event center.",Passed,63.45,36.55,November,2017,20,,,"10,500,000",Bond (RCW 84.52.056)
Pullman,Whitman,City,"Criminal Justice, Fire, Parks and Recreation, Other","Single-year levy lid lift (increase of $0.65, permanent) for public safety, library, parks and recreation, and administrative services.",Passed,62.8,37.2,August,2013,Single-year (permanent),0.65,,,Levy Lid Lift (RCW 84.55.050)
Pullman,Whitman,City,EMS,"Single-year levy lid lift (increase of $0.09, permanent) for EMS.",Passed,74.9,25.1,August,2013,Single-year (permanent),0.09,,,Levy Lid Lift (RCW 84.55.050)
Pullman Metropolitan Park District,Whitman,Park District,Parks and Recreation,"Single-year levy lid lift (increase of $0.09, permanent) for MPD maintenance, enhancements, and park and open space acquisition.",Passed,67.86,32.14,August,2013,Single-year (permanent),0.09,,,Levy Lid Lift (RCW 84.55.050)
Raymond,Pacific,City,Other,"Excess levy ($1.13) for major maintenance and capital repairs for city facilities, including fire hall/police station, tourist center, public works heating system, theater, and city hall.",Failed,52.4,47.6,August,2016,1,1.13,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Raymond,Pacific,City,"Annexation, Library",Annexation into Timberland Regional Library System.,Passed,76.12,23.88,November,2015,,,,,N/A
Redmond,King,City,Transportation,"Single-year levy lid lift (increase of $0.28, 7 years) for public safety and transportation maintenance, including emergency services, school safety, property protection, roadway repair, and pedestrian crossings.",Failed,46.93,53.07,August,2015,Single-year (7 years),0.28,,,Levy Lid Lift (RCW 84.55.050)
Redmond,King,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.07, 7 years) for park and trail operation and maintenance.",Failed,45.97,54.03,August,2015,Single-year (7 years),0.07,,,Levy Lid Lift (RCW 84.55.050)
